reference_number,reference,URL,status,description,candidate_replacement_url,cosine_similarity,jaccard_index,levenshtein_distance,euclidean_distance
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://www.bloomberg.com/news/newsletters/2024-04-21/apple-aapl-growth-opportunities-southeast-asia-and-africa-lower-end-iphone-lv9itkna,0.3250656396014143,0.028268551236749116,5814,87.64701934464172
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://www.cnn.com/2023/09/11/tech/iphone-timeline/index.html,0.7508381179238413,0.07841866493843162,22612,181.53512056899623
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://dankennedy.net/2016/04/07/globe-editor-mcgrory-its-time-to-rethink-everything-we-do/,0.7731588299876956,0.0676754939050021,27996,392.5289798218725
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://www.datalounge.com/threads,0.7278132093677592,0.018715147811473532,248187,2983.8538838220616
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://www.daysofthecrazy-wild.com/bov-dylans-troubled-dont-know-masterpiece/,0.5172375670851951,0.013997274866840085,165520,1523.9419280274428
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://www.macrumors.com/2016/01/07/iphone-7-thinner-waterproof-no-headphone-jack/,0.8425042205281364,0.09700598802395209,14280,142.3411395205195
5,"Sullivan, Mark (7 January 2016). ""It's True: Apple Will Drop Headphone Jack To Make The iPhone 7 Slimmer, Says Source"". Fast Company. Archived from the original on 2016-08-29.",https://www.fastcompany.com/3055208/its-true-apple-will-drop-the-headphone-jack-to-make-the-iphone-7-slimmer-and-simpler,403,Forbidden,https://thebalancedblonde.com/2014/06/23/why-im-transitioning-away-from-veganism/,0.6673510165649772,0.013476140192085281,849048,12032.412476307483
21,"Singer, Merril (1979). ""Nathaniel Baldwin, Utah inventor and patron of the fundamentalist movement"". Utah Historical Quarterly. 47 (1): 42–53. doi:10.2307/45060660. JSTOR 45060660. S2CID 254434880.",https://www.jstor.org/stable/45060660,403,Forbidden,https://library.utahtech.edu/special_collections/Juanita_Brooks_lectures/1990-twentieth.html,0.2922138060048305,0.00361794500723589,43897,629.0127184723692
21,"Singer, Merril (1979). ""Nathaniel Baldwin, Utah inventor and patron of the fundamentalist movement"". Utah Historical Quarterly. 47 (1): 42–53. doi:10.2307/45060660. JSTOR 45060660. S2CID 254434880.",https://www.jstor.org/stable/45060660,403,Forbidden,https://www.dialoguejournal.com/articles/short-creek-a-refuge-for-the-saints/,0.2688544841727265,0.0030405405405405407,51304,764.7627082958478
21,"Singer, Merril (1979). ""Nathaniel Baldwin, Utah inventor and patron of the fundamentalist movement"". Utah Historical Quarterly. 47 (1): 42–53. doi:10.2307/45060660. JSTOR 45060660. S2CID 254434880.",https://www.jstor.org/stable/45060660,403,Forbidden,https://www.livingplaces.com/UT/Salt_Lake_County/Millcreek_City/Evergreen_Avenue_Historic_District.html,0.2806108375164267,0.004189944134078212,42958,804.9198717884905
21,"Singer, Merril (1979). ""Nathaniel Baldwin, Utah inventor and patron of the fundamentalist movement"". Utah Historical Quarterly. 47 (1): 42–53. doi:10.2307/45060660. JSTOR 45060660. S2CID 254434880.",https://www.jstor.org/stable/45060660,403,Forbidden,https://cegh.net/article/S2213-3984(21)00092-0/fulltext,0.2610023665243336,0.0027793218454697055,39950,456.877445273894
27,"""Sony history 1960s"". Sony official website. Archived from the original on 2016-02-05.",http://www.sony.net/Fun/design/history/1960.html,403,Forbidden,https://www.sony.com/en/SonyInfo/design/,0.6131950135428759,0.11855670103092783,2968,30.24896692450835
27,"""Sony history 1960s"". Sony official website. Archived from the original on 2016-02-05.",http://www.sony.net/Fun/design/history/1960.html,403,Forbidden,https://www.sony.com/en/SonyInfo/CorporateInfo/History/,0.6769668516946961,0.15862068965517243,2610,30.347981810987037
27,"""Sony history 1960s"". Sony official website. Archived from the original on 2016-02-05.",http://www.sony.net/Fun/design/history/1960.html,403,Forbidden,https://www.sony.com/en/SonyInfo/CorporateInfo/History/SonyHistory/1-10.html,0.6611868775043591,0.04909090909090909,13029,190.06314740106774
27,"""Sony history 1960s"". Sony official website. Archived from the original on 2016-02-05.",http://www.sony.net/Fun/design/history/1960.html,403,Forbidden,https://www.sony.com/en/SonyInfo/CorporateInfo/History/SonyHistory/2-08.html,0.6551826071521182,0.043333333333333335,16409,277.7498874887261
27,"""Sony history 1960s"". Sony official website. Archived from the original on 2016-02-05.",http://www.sony.net/Fun/design/history/1960.html,403,Forbidden,https://www.westmorelandcountypa.gov/1494/Project-History,0.6259405527447033,0.031835205992509365,4060,61.587336360651285
27,"""Sony history 1960s"". Sony official website. Archived from the original on 2016-02-05.",http://www.sony.net/Fun/design/history/1960.html,403,Forbidden,https://www.sony-semicon.com/en/company/history/index.html,0.6292555024192731,0.023731587561374796,22684,281.7587620642879
28,"Description of 3.5mm earphone jack in described model: ""Vintage Sony 1960'S EFM-117J Radio"". Retrieved 2016-01-25.",http://www.worthpoint.com/worthopedia/vintage-sony-1960-efm-117j-radio-47603127,403,Forbidden,https://www.cultofmac.com/440986/iphone-7-rumors-roundup/,0.4180546579425283,0.05944986690328305,6826,132.3782459469833
28,"Description of 3.5mm earphone jack in described model: ""Vintage Sony 1960'S EFM-117J Radio"". Retrieved 2016-01-25.",http://www.worthpoint.com/worthopedia/vintage-sony-1960-efm-117j-radio-47603127,403,Forbidden,https://wenxue.ca/%E8%80%B3%E6%94%BE%E8%80%B3%E6%89%A9%E7%9A%84%E6%8E%A8%E5%8A%9B%E7%9A%84%E5%8D%95%E4%BD%8D%EF%BC%8C%E8%80%B3%E6%9C%BA%E9%9F%B3%E5%93%8D%E5%8F%91%E7%83%A7%E7%9A%84%E8%B7%A8%E4%B8%96%E7%BA%AA%E6%9C%AA-2/,0.36422616583143475,0.03151674326986211,18681,79.39773296511683
34,"Siau, John. ""The ""0-Ohm"" Headphone Amplifier"" (PDF). Archived (PDF) from the original on 10 February 2013. Retrieved 26 June 2012.",http://www.benchmarkmedia.com/discuss/sites/default/files/Headphone-Amplifier-Performance-Part-2.pdf,ERR,Error,https://audiosciencereview.com/forum/index.php?threads/audibility-of-low-damping-factor-benchmark-myth-busting-white-paper.13826/,0.056349848561724605,0.0013592914145400333,673418,758.691636964584
34,"Siau, John. ""The ""0-Ohm"" Headphone Amplifier"" (PDF). Archived (PDF) from the original on 10 February 2013. Retrieved 26 June 2012.",http://www.benchmarkmedia.com/discuss/sites/default/files/Headphone-Amplifier-Performance-Part-2.pdf,ERR,Error,https://www.diyaudio.com/community/threads/simple-class-a-headphone-amp-using-that1646.163544/,0.07857681371377598,0.0012626812382984282,673775,728.258882541092
34,"Siau, John. ""The ""0-Ohm"" Headphone Amplifier"" (PDF). Archived (PDF) from the original on 10 February 2013. Retrieved 26 June 2012.",http://www.benchmarkmedia.com/discuss/sites/default/files/Headphone-Amplifier-Performance-Part-2.pdf,ERR,Error,https://benchmarkmedia.com/blogs/application_notes/audio-myth-damping-factor-isnt-much-of-a-factor,0.05660953755530978,0.0013940318013504684,672319,811.6507869767638
34,"Siau, John. ""The ""0-Ohm"" Headphone Amplifier"" (PDF). Archived (PDF) from the original on 10 February 2013. Retrieved 26 June 2012.",http://www.benchmarkmedia.com/discuss/sites/default/files/Headphone-Amplifier-Performance-Part-2.pdf,ERR,Error,https://www.soundonsound.com/forum/viewtopic.php?t=69194,0.04363245870298927,0.00041032187471505424,682425,705.3835835912259
